match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000001,matchup_0001,1,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,59,4,variable_2_4,1,62,3,variable_2_4,1,62,3,loss
match_000001,matchup_0001,1,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,62,3,fixed_2p,1,59,4,fixed_2p,1,59,4,win
match_000002,matchup_0001,2,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,68,3,variable_2_4,1,62,2,variable_2_4,1,62,2,win
match_000002,matchup_0001,2,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,62,2,fixed_2p,1,68,3,fixed_2p,1,68,3,loss
match_000003,matchup_0001,3,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,50,5,variable_2_4,1,39,2,variable_2_4,1,39,2,win
match_000003,matchup_0001,3,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,39,2,fixed_2p,1,50,5,fixed_2p,1,50,5,loss
match_000004,matchup_0001,4,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,56,4,fixed_2p,1,51,4,fixed_2p,1,51,4,win
match_000004,matchup_0001,4,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,51,4,variable_2_4,1,56,4,variable_2_4,1,56,4,loss
match_000005,matchup_0001,5,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,59,2,fixed_2p,1,61,1,fixed_2p,1,61,1,loss
match_000005,matchup_0001,5,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,61,1,variable_2_4,1,59,2,variable_2_4,1,59,2,win
match_000006,matchup_0001,6,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,53,2,fixed_2p,1,65,4,fixed_2p,1,65,4,loss
match_000006,matchup_0001,6,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,65,4,variable_2_4,1,53,2,variable_2_4,1,53,2,win
match_000007,matchup_0001,7,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,52,4,variable_2_4,1,46,2,variable_2_4,1,46,2,win
match_000007,matchup_0001,7,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,46,2,fixed_2p,1,52,4,fixed_2p,1,52,4,loss
match_000008,matchup_0001,8,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,58,5,variable_2_4,1,47,3,variable_2_4,1,47,3,win
match_000008,matchup_0001,8,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,47,3,fixed_2p,1,58,5,fixed_2p,1,58,5,loss
