device=cpu  n_players=[2, 4]  model=MLP+DQN  total_frames=25000000
cli_args={"batch_size": 256, "buffer_size": 100000, "compile": false, "cuda": false, "encoder_flat_cells": 128, "encoder_flat_depth": 1, "encoder_flat_embed_dim": 64, "encoder_mix_cells": 128, "encoder_mix_depth": 1, "encoder_output_dim": 128, "encoder_q_cells": 128, "encoder_q_depth": 1, "encoder_sequential_depth": 2, "encoder_sequential_dropout": 0.0, "encoder_sequential_embed_dim": 64, "encoder_sequential_ff_dim": 128, "encoder_sequential_head_dim": 16, "encoder_sequential_num_heads": 4, "frames_per_batch": 5000, "gamma": 0.99, "iterations": 5000, "log_path": "/SushiGo/results/league/variable_2_4/repetition_1/metrics.csv", "lr": 0.00025, "max_grad_norm": 10.0, "max_n_players": 4, "min_n_players": 2, "mlp_cells": 128, "mlp_depth": 3, "n_players": null, "num_workers": 16, "reward_scale": 0.1, "save_path": "/SushiGo/results/league/variable_2_4/repetition_1/model.pt", "smoke": false, "target_eps": 0.995, "updates_per_batch": 8, "use_encoder": false}
[92m2026-06-14 18:40:26,889 [torchrl][INFO][0m    check_env_specs succeeded![92m [END][0m
[92m2026-06-14 18:40:30,002 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([100000]) shape[92m [END][0m
iter 1/5000 ( 0.02%) | elapsed=3s | eta=4h 41m 09s | loss=0.0707 | eps=1.000 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 2/5000 ( 0.04%) | elapsed=4s | eta=3h 09m 56s | loss=0.0532 | eps=0.999 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 3/5000 ( 0.06%) | elapsed=5s | eta=2h 33m 36s | loss=0.0434 | eps=0.999 | mean turn reward=+0.126 | mean episode return/seat=+3.29
iter 4/5000 ( 0.08%) | elapsed=6s | eta=2h 15m 23s | loss=0.0530 | eps=0.999 | mean turn reward=+0.129 | mean episode return/seat=+3.39
iter 5/5000 ( 0.10%) | elapsed=7s | eta=2h 05m 04s | loss=0.0418 | eps=0.999 | mean turn reward=+0.129 | mean episode return/seat=+3.43
iter 6/5000 ( 0.12%) | elapsed=8s | eta=1h 57m 50s | loss=0.0503 | eps=0.998 | mean turn reward=+0.127 | mean episode return/seat=+3.34
iter 7/5000 ( 0.14%) | elapsed=9s | eta=1h 52m 51s | loss=0.0391 | eps=0.998 | mean turn reward=+0.129 | mean episode return/seat=+3.37
iter 8/5000 ( 0.16%) | elapsed=10s | eta=1h 48m 55s | loss=0.0408 | eps=0.998 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 9/5000 ( 0.18%) | elapsed=11s | eta=1h 47m 41s | loss=0.0443 | eps=0.997 | mean turn reward=+0.130 | mean episode return/seat=+3.48
iter 10/5000 ( 0.20%) | elapsed=12s | eta=1h 45m 21s | loss=0.0414 | eps=0.997 | mean turn reward=+0.129 | mean episode return/seat=+3.43
iter 11/5000 ( 0.22%) | elapsed=13s | eta=1h 43m 20s | loss=0.0368 | eps=0.997 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 12/5000 ( 0.24%) | elapsed=14s | eta=1h 42m 01s | loss=0.0352 | eps=0.996 | mean turn reward=+0.129 | mean episode return/seat=+3.43
iter 13/5000 ( 0.26%) | elapsed=15s | eta=1h 40m 33s | loss=0.0449 | eps=0.996 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 14/5000 ( 0.28%) | elapsed=16s | eta=1h 39m 14s | loss=0.0368 | eps=0.996 | mean turn reward=+0.127 | mean episode return/seat=+3.36
iter 15/5000 ( 0.30%) | elapsed=17s | eta=1h 38m 52s | loss=0.0374 | eps=0.996 | mean turn reward=+0.128 | mean episode return/seat=+3.38
iter 16/5000 ( 0.32%) | elapsed=18s | eta=1h 38m 08s | loss=0.0387 | eps=0.995 | mean turn reward=+0.131 | mean episode return/seat=+3.48
iter 17/5000 ( 0.34%) | elapsed=19s | eta=1h 37m 12s | loss=0.0357 | eps=0.995 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 18/5000 ( 0.36%) | elapsed=20s | eta=1h 36m 15s | loss=0.0407 | eps=0.995 | mean turn reward=+0.131 | mean episode return/seat=+3.49
iter 19/5000 ( 0.38%) | elapsed=21s | eta=1h 35m 24s | loss=0.0420 | eps=0.994 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 20/5000 ( 0.40%) | elapsed=22s | eta=1h 34m 43s | loss=0.0305 | eps=0.994 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 21/5000 ( 0.42%) | elapsed=23s | eta=1h 34m 26s | loss=0.0348 | eps=0.994 | mean turn reward=+0.127 | mean episode return/seat=+3.32
iter 22/5000 ( 0.44%) | elapsed=25s | eta=1h 34m 20s | loss=0.0399 | eps=0.993 | mean turn reward=+0.128 | mean episode return/seat=+3.37
iter 23/5000 ( 0.46%) | elapsed=25s | eta=1h 33m 43s | loss=0.0424 | eps=0.993 | mean turn reward=+0.128 | mean episode return/seat=+3.37
iter 24/5000 ( 0.48%) | elapsed=27s | eta=1h 33m 21s | loss=0.0389 | eps=0.993 | mean turn reward=+0.129 | mean episode return/seat=+3.39
iter 25/5000 ( 0.50%) | elapsed=27s | eta=1h 32m 51s | loss=0.0375 | eps=0.993 | mean turn reward=+0.129 | mean episode return/seat=+3.39
iter 26/5000 ( 0.52%) | elapsed=28s | eta=1h 32m 17s | loss=0.0415 | eps=0.992 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 27/5000 ( 0.54%) | elapsed=29s | eta=1h 31m 51s | loss=0.0386 | eps=0.992 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 28/5000 ( 0.56%) | elapsed=31s | eta=1h 31m 48s | loss=0.0356 | eps=0.992 | mean turn reward=+0.128 | mean episode return/seat=+3.39
iter 29/5000 ( 0.58%) | elapsed=32s | eta=1h 31m 36s | loss=0.0358 | eps=0.991 | mean turn reward=+0.128 | mean episode return/seat=+3.38
iter 30/5000 ( 0.60%) | elapsed=33s | eta=1h 31m 12s | loss=0.0419 | eps=0.991 | mean turn reward=+0.128 | mean episode return/seat=+3.33
iter 31/5000 ( 0.62%) | elapsed=33s | eta=1h 30m 49s | loss=0.0410 | eps=0.991 | mean turn reward=+0.127 | mean episode return/seat=+3.31
iter 32/5000 ( 0.64%) | elapsed=34s | eta=1h 30m 25s | loss=0.0336 | eps=0.990 | mean turn reward=+0.134 | mean episode return/seat=+3.57
iter 33/5000 ( 0.66%) | elapsed=35s | eta=1h 30m 09s | loss=0.0383 | eps=0.990 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 34/5000 ( 0.68%) | elapsed=37s | eta=1h 30m 07s | loss=0.0383 | eps=0.990 | mean turn reward=+0.128 | mean episode return/seat=+3.37
iter 35/5000 ( 0.70%) | elapsed=38s | eta=1h 30m 08s | loss=0.0420 | eps=0.990 | mean turn reward=+0.129 | mean episode return/seat=+3.43
iter 36/5000 ( 0.72%) | elapsed=39s | eta=1h 29m 49s | loss=0.0361 | eps=0.989 | mean turn reward=+0.132 | mean episode return/seat=+3.43
iter 37/5000 ( 0.74%) | elapsed=40s | eta=1h 29m 35s | loss=0.0422 | eps=0.989 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 38/5000 ( 0.76%) | elapsed=41s | eta=1h 29m 26s | loss=0.0509 | eps=0.989 | mean turn reward=+0.131 | mean episode return/seat=+3.48
iter 39/5000 ( 0.78%) | elapsed=42s | eta=1h 29m 11s | loss=0.0427 | eps=0.988 | mean turn reward=+0.129 | mean episode return/seat=+3.42
iter 40/5000 ( 0.80%) | elapsed=43s | eta=1h 28m 56s | loss=0.0475 | eps=0.988 | mean turn reward=+0.131 | mean episode return/seat=+3.48
iter 41/5000 ( 0.82%) | elapsed=44s | eta=1h 29m 00s | loss=0.0430 | eps=0.988 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter 42/5000 ( 0.84%) | elapsed=45s | eta=1h 29m 00s | loss=0.0434 | eps=0.987 | mean turn reward=+0.129 | mean episode return/seat=+3.42
iter 43/5000 ( 0.86%) | elapsed=46s | eta=1h 28m 48s | loss=0.0409 | eps=0.987 | mean turn reward=+0.129 | mean episode return/seat=+3.39
iter 44/5000 ( 0.88%) | elapsed=47s | eta=1h 28m 36s | loss=0.0507 | eps=0.987 | mean turn reward=+0.128 | mean episode return/seat=+3.33
iter 45/5000 ( 0.90%) | elapsed=48s | eta=1h 28m 26s | loss=0.0425 | eps=0.987 | mean turn reward=+0.127 | mean episode return/seat=+3.32
iter 46/5000 ( 0.92%) | elapsed=49s | eta=1h 28m 15s | loss=0.0385 | eps=0.986 | mean turn reward=+0.128 | mean episode return/seat=+3.34
iter 47/5000 ( 0.94%) | elapsed=50s | eta=1h 28m 20s | loss=0.0393 | eps=0.986 | mean turn reward=+0.127 | mean episode return/seat=+3.32
iter 48/5000 ( 0.96%) | elapsed=51s | eta=1h 28m 24s | loss=0.0528 | eps=0.986 | mean turn reward=+0.130 | mean episode return/seat=+3.41
iter 49/5000 ( 0.98%) | elapsed=52s | eta=1h 28m 11s | loss=0.0444 | eps=0.985 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 50/5000 ( 1.00%) | elapsed=53s | eta=1h 27m 59s | loss=0.0372 | eps=0.985 | mean turn reward=+0.133 | mean episode return/seat=+3.52
iter 51/5000 ( 1.02%) | elapsed=54s | eta=1h 27m 48s | loss=0.0405 | eps=0.985 | mean turn reward=+0.129 | mean episode return/seat=+3.36
iter 52/5000 ( 1.04%) | elapsed=55s | eta=1h 27m 38s | loss=0.0438 | eps=0.985 | mean turn reward=+0.127 | mean episode return/seat=+3.32
iter 53/5000 ( 1.06%) | elapsed=56s | eta=1h 27m 40s | loss=0.0442 | eps=0.984 | mean turn reward=+0.128 | mean episode return/seat=+3.37
iter 54/5000 ( 1.08%) | elapsed=57s | eta=1h 27m 42s | loss=0.0465 | eps=0.984 | mean turn reward=+0.128 | mean episode return/seat=+3.31
iter 55/5000 ( 1.10%) | elapsed=58s | eta=1h 27m 36s | loss=0.0506 | eps=0.984 | mean turn reward=+0.127 | mean episode return/seat=+3.31
iter 56/5000 ( 1.12%) | elapsed=59s | eta=1h 27m 27s | loss=0.0454 | eps=0.983 | mean turn reward=+0.129 | mean episode return/seat=+3.43
iter 57/5000 ( 1.14%) | elapsed=1m 00s | eta=1h 27m 17s | loss=0.0418 | eps=0.983 | mean turn reward=+0.132 | mean episode return/seat=+3.46
iter 58/5000 ( 1.16%) | elapsed=1m 01s | eta=1h 27m 11s | loss=0.0518 | eps=0.983 | mean turn reward=+0.132 | mean episode return/seat=+3.54
iter 59/5000 ( 1.18%) | elapsed=1m 02s | eta=1h 27m 03s | loss=0.0539 | eps=0.982 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 60/5000 ( 1.20%) | elapsed=1m 03s | eta=1h 27m 06s | loss=0.0494 | eps=0.982 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 61/5000 ( 1.22%) | elapsed=1m 04s | eta=1h 27m 08s | loss=0.0505 | eps=0.982 | mean turn reward=+0.128 | mean episode return/seat=+3.34
iter 62/5000 ( 1.24%) | elapsed=1m 05s | eta=1h 27m 02s | loss=0.0551 | eps=0.982 | mean turn reward=+0.130 | mean episode return/seat=+3.45
iter 63/5000 ( 1.26%) | elapsed=1m 06s | eta=1h 26m 53s | loss=0.0576 | eps=0.981 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 64/5000 ( 1.28%) | elapsed=1m 07s | eta=1h 26m 45s | loss=0.0439 | eps=0.981 | mean turn reward=+0.129 | mean episode return/seat=+3.36
iter 65/5000 ( 1.30%) | elapsed=1m 08s | eta=1h 26m 39s | loss=0.0470 | eps=0.981 | mean turn reward=+0.130 | mean episode return/seat=+3.44
iter 66/5000 ( 1.32%) | elapsed=1m 09s | eta=1h 26m 41s | loss=0.0514 | eps=0.980 | mean turn reward=+0.128 | mean episode return/seat=+3.40
iter 67/5000 ( 1.34%) | elapsed=1m 10s | eta=1h 26m 44s | loss=0.0524 | eps=0.980 | mean turn reward=+0.130 | mean episode return/seat=+3.41
iter 68/5000 ( 1.36%) | elapsed=1m 11s | eta=1h 26m 40s | loss=0.0492 | eps=0.980 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter 69/5000 ( 1.38%) | elapsed=1m 12s | eta=1h 26m 32s | loss=0.0458 | eps=0.979 | mean turn reward=+0.127 | mean episode return/seat=+3.40
iter 70/5000 ( 1.40%) | elapsed=1m 13s | eta=1h 26m 25s | loss=0.0508 | eps=0.979 | mean turn reward=+0.129 | mean episode return/seat=+3.36
iter 71/5000 ( 1.42%) | elapsed=1m 14s | eta=1h 26m 22s | loss=0.0480 | eps=0.979 | mean turn reward=+0.128 | mean episode return/seat=+3.34
iter 72/5000 ( 1.44%) | elapsed=1m 15s | eta=1h 26m 16s | loss=0.0468 | eps=0.979 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter 73/5000 ( 1.46%) | elapsed=1m 16s | eta=1h 26m 19s | loss=0.0546 | eps=0.978 | mean turn reward=+0.128 | mean episode return/seat=+3.37
iter 74/5000 ( 1.48%) | elapsed=1m 17s | eta=1h 26m 18s | loss=0.0409 | eps=0.978 | mean turn reward=+0.128 | mean episode return/seat=+3.38
iter 75/5000 ( 1.50%) | elapsed=1m 18s | eta=1h 26m 12s | loss=0.0466 | eps=0.978 | mean turn reward=+0.128 | mean episode return/seat=+3.35
iter 76/5000 ( 1.52%) | elapsed=1m 19s | eta=1h 26m 06s | loss=0.0534 | eps=0.977 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter 77/5000 ( 1.54%) | elapsed=1m 20s | eta=1h 26m 03s | loss=0.0468 | eps=0.977 | mean turn reward=+0.132 | mean episode return/seat=+3.49
iter 78/5000 ( 1.56%) | elapsed=1m 21s | eta=1h 25m 58s | loss=0.0528 | eps=0.977 | mean turn reward=+0.129 | mean episode return/seat=+3.36
iter 79/5000 ( 1.58%) | elapsed=1m 22s | eta=1h 26m 00s | loss=0.0500 | eps=0.976 | mean turn reward=+0.130 | mean episode return/seat=+3.41
iter 80/5000 ( 1.60%) | elapsed=1m 23s | eta=1h 26m 02s | loss=0.0531 | eps=0.976 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 81/5000 ( 1.62%) | elapsed=1m 24s | eta=1h 25m 57s | loss=0.0473 | eps=0.976 | mean turn reward=+0.127 | mean episode return/seat=+3.34
iter 82/5000 ( 1.64%) | elapsed=1m 25s | eta=1h 25m 53s | loss=0.0508 | eps=0.976 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 83/5000 ( 1.66%) | elapsed=1m 26s | eta=1h 25m 47s | loss=0.0513 | eps=0.975 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 84/5000 ( 1.68%) | elapsed=1m 27s | eta=1h 25m 41s | loss=0.0516 | eps=0.975 | mean turn reward=+0.128 | mean episode return/seat=+3.34
iter 85/5000 ( 1.70%) | elapsed=1m 28s | eta=1h 25m 38s | loss=0.0521 | eps=0.975 | mean turn reward=+0.129 | mean episode return/seat=+3.43
iter 86/5000 ( 1.72%) | elapsed=1m 30s | eta=1h 25m 42s | loss=0.0479 | eps=0.974 | mean turn reward=+0.126 | mean episode return/seat=+3.31
iter 87/5000 ( 1.74%) | elapsed=1m 31s | eta=1h 25m 44s | loss=0.0577 | eps=0.974 | mean turn reward=+0.132 | mean episode return/seat=+3.48
iter 88/5000 ( 1.76%) | elapsed=1m 32s | eta=1h 25m 39s | loss=0.0574 | eps=0.974 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 89/5000 ( 1.78%) | elapsed=1m 33s | eta=1h 25m 35s | loss=0.0521 | eps=0.973 | mean turn reward=+0.132 | mean episode return/seat=+3.47
