match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000001,matchup_0001,1,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,54,5,variable_2_4,1,51,2,variable_2_4,1,51,2,win
match_000001,matchup_0001,1,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,51,2,fixed_2p,1,54,5,fixed_2p,1,54,5,loss
match_000002,matchup_0001,2,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,53,0,fixed_2p,1,46,6,fixed_2p,1,46,6,win
match_000002,matchup_0001,2,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,46,6,variable_2_4,1,53,0,variable_2_4,1,53,0,loss
match_000003,matchup_0001,3,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,45,5,variable_2_4,1,48,1,variable_2_4,1,48,1,loss
match_000003,matchup_0001,3,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,48,1,fixed_2p,1,45,5,fixed_2p,1,45,5,win
match_000004,matchup_0001,4,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,49,1,variable_2_4,1,44,1,variable_2_4,1,44,1,win
match_000004,matchup_0001,4,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,44,1,fixed_2p,1,49,1,fixed_2p,1,49,1,loss
match_000005,matchup_0001,5,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,59,2,fixed_2p,1,60,4,fixed_2p,1,60,4,loss
match_000005,matchup_0001,5,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,60,4,variable_2_4,1,59,2,variable_2_4,1,59,2,win
match_000006,matchup_0001,6,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,57,3,variable_2_4,1,62,4,variable_2_4,1,62,4,loss
match_000006,matchup_0001,6,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,62,4,fixed_2p,1,57,3,fixed_2p,1,57,3,win
match_000007,matchup_0001,7,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,49,3,variable_2_4,1,50,3,variable_2_4,1,50,3,loss
match_000007,matchup_0001,7,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,50,3,fixed_2p,1,49,3,fixed_2p,1,49,3,win
match_000008,matchup_0001,8,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,59,4,fixed_2p,1,63,4,fixed_2p,1,63,4,loss
