device=cuda  n_players=[2, 4]  model=MLP+DQN  total_frames=25000000
cli_args={"batch_size": 512, "buffer_size": 100000, "compile": false, "cuda": true, "encoder_flat_cells": 128, "encoder_flat_depth": 1, "encoder_flat_embed_dim": 64, "encoder_mix_cells": 128, "encoder_mix_depth": 1, "encoder_output_dim": 128, "encoder_q_cells": 128, "encoder_q_depth": 1, "encoder_sequential_depth": 2, "encoder_sequential_dropout": 0.0, "encoder_sequential_embed_dim": 64, "encoder_sequential_ff_dim": 128, "encoder_sequential_head_dim": 16, "encoder_sequential_num_heads": 4, "frames_per_batch": 5000, "gamma": 0.99, "iterations": 5000, "lr": 0.00025, "max_grad_norm": 10.0, "max_n_players": 4, "min_n_players": 2, "mlp_cells": 447, "mlp_depth": 2, "n_players": null, "reward_scale": 0.1, "save_path": "models/DQN/sushi_go_qnet_large_2-4_players.pt", "smoke": false, "target_eps": 0.995, "updates_per_batch": 16, "use_encoder": false}
[92m2026-06-07 18:53:21,717 [torchrl][INFO][0m    check_env_specs succeeded![92m [END][0m
[92m2026-06-07 18:53:56,925 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([100000]) shape[92m [END][0m
iter   0 | loss=0.0442 | eps=1.000 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter   1 | loss=0.0415 | eps=0.999 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter   2 | loss=0.0375 | eps=0.999 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter   3 | loss=0.0343 | eps=0.999 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter   4 | loss=0.0360 | eps=0.999 | mean turn reward=+0.129 | mean episode return/seat=+3.39
iter   5 | loss=0.0379 | eps=0.998 | mean turn reward=+0.130 | mean episode return/seat=+3.47
iter   6 | loss=0.0314 | eps=0.998 | mean turn reward=+0.128 | mean episode return/seat=+3.39
iter   7 | loss=0.0325 | eps=0.998 | mean turn reward=+0.128 | mean episode return/seat=+3.35
iter   8 | loss=0.0367 | eps=0.997 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter   9 | loss=0.0436 | eps=0.997 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter  10 | loss=0.0402 | eps=0.997 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter  11 | loss=0.0357 | eps=0.996 | mean turn reward=+0.128 | mean episode return/seat=+3.35
iter  12 | loss=0.0346 | eps=0.996 | mean turn reward=+0.129 | mean episode return/seat=+3.37
iter  13 | loss=0.0426 | eps=0.996 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter  14 | loss=0.0386 | eps=0.996 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter  15 | loss=0.0393 | eps=0.995 | mean turn reward=+0.132 | mean episode return/seat=+3.51
iter  16 | loss=0.0414 | eps=0.995 | mean turn reward=+0.128 | mean episode return/seat=+3.38
iter  17 | loss=0.0446 | eps=0.995 | mean turn reward=+0.128 | mean episode return/seat=+3.35
iter  18 | loss=0.0451 | eps=0.994 | mean turn reward=+0.128 | mean episode return/seat=+3.33
iter  19 | loss=0.0422 | eps=0.994 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter  20 | loss=0.0451 | eps=0.994 | mean turn reward=+0.129 | mean episode return/seat=+3.43
